"filename", "language", "Python", "pip requirements", "comment", "blank", "total"
"c:\Users\logre\Desktop\FEBackend\UserAuth\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\logre\Desktop\FEBackend\UserAuth\admin.py", "Python", 1, 0, 1, 2, 4
"c:\Users\logre\Desktop\FEBackend\UserAuth\apps.py", "Python", 4, 0, 0, 3, 7
"c:\Users\logre\Desktop\FEBackend\UserAuth\migrations\0001_initial.py", "Python", 17, 0, 1, 7, 25
"c:\Users\logre\Desktop\FEBackend\UserAuth\migrations\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\logre\Desktop\FEBackend\UserAuth\models.py", "Python", 6, 0, 2, 2, 10
"c:\Users\logre\Desktop\FEBackend\UserAuth\tests.py", "Python", 1, 0, 1, 2, 4
"c:\Users\logre\Desktop\FEBackend\UserAuth\views.py", "Python", 44, 0, 6, 9, 59
"c:\Users\logre\Desktop\FEBackend\conftest.py", "Python", 5, 0, 0, 1, 6
"c:\Users\logre\Desktop\FEBackend\manage.py", "Python", 15, 0, 3, 5, 23
"c:\Users\logre\Desktop\FEBackend\rNFTBackEnd\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\logre\Desktop\FEBackend\rNFTBackEnd\asgi.py", "Python", 4, 0, 8, 5, 17
"c:\Users\logre\Desktop\FEBackend\rNFTBackEnd\settings.py", "Python", 67, 0, 27, 32, 126
"c:\Users\logre\Desktop\FEBackend\rNFTBackEnd\urls.py", "Python", 11, 0, 15, 4, 30
"c:\Users\logre\Desktop\FEBackend\rNFTBackEnd\wsgi.py", "Python", 4, 0, 8, 5, 17
"c:\Users\logre\Desktop\FEBackend\rNFT\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\logre\Desktop\FEBackend\rNFT\admin.py", "Python", 1, 0, 1, 2, 4
"c:\Users\logre\Desktop\FEBackend\rNFT\apps.py", "Python", 4, 0, 0, 3, 7
"c:\Users\logre\Desktop\FEBackend\rNFT\migrations\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\logre\Desktop\FEBackend\rNFT\models.py", "Python", 1, 0, 1, 2, 4
"c:\Users\logre\Desktop\FEBackend\rNFT\tests.py", "Python", 1, 0, 1, 2, 4
"c:\Users\logre\Desktop\FEBackend\rNFT\views.py", "Python", 29, 0, 4, 5, 38
"c:\Users\logre\Desktop\FEBackend\requirements.txt", "pip requirements", 0, 51, 0, 1, 52
"c:\Users\logre\Desktop\FEBackend\utils.py", "Python", 0, 0, 0, 1, 1
"c:\Users\logre\Desktop\FEBackend\utils\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\logre\Desktop\FEBackend\utils\ipfs_dealer.py", "Python", 44, 0, 5, 6, 55
"c:\Users\logre\Desktop\FEBackend\utils\metadata_generator.py", "Python", 5, 0, 1, 2, 8
"c:\Users\logre\Desktop\FEBackend\utils\my_cryptography.py", "Python", 61, 0, 16, 31, 108
"c:\Users\logre\Desktop\FEBackend\utils\tests\__init__.py", "Python", 0, 0, 0, 1, 1
"c:\Users\logre\Desktop\FEBackend\utils\tests\test_ipfs_dealer.py", "Python", 18, 0, 0, 3, 21
"Total", "-", 343, 51, 101, 142, 637
